site,fp,transect,grid,distance,id,date,P,X13C,X15N,C,N
CR,1,B,60,0,CR101,1/7/2019,NA,-17.55,-0.24,18.74,1.31
CR,1,B,60,0,CR102,1/7/2019,NA,-18.48,1.39,26.91,1.82
CR,1,B,60,0,CR102,9/2/2020,0.61,NA,NA,NA,NA
CR,1,B,60,0,CR101,9/2/2020,0.57,NA,NA,NA,NA
CR,1,B,60,1,CR1B11,1/7/2019,NA,-13.99,0.79,18.12,1.01
CR,1,B,60,1,CR1B12,1/7/2019,NA,-14.23,1.12,16.54,0.93
CR,1,B,60,2,CR1B22,1/7/2019,NA,-12.96,1.96,15.86,0.85
CR,1,B,60,2,CR1B21,9/2/2020,0.31,NA,NA,NA,NA
CR,1,B,60,2,CR1B22,9/2/2020,0.38,NA,NA,NA,NA
CR,1,B,50,4,CR1B41,1/7/2019,NA,-12.61,1.3,17.87,1.03
CR,1,B,50,4,CR1B42,1/7/2019,NA,-12.49,-0.75,15.2,0.85
CR,1,B,50,4,CR1B41,9/2/2020,0.42,NA,NA,NA,NA
CR,1,B,50,4,CR1B42,9/2/2020,0.38,NA,NA,NA,NA
CR,1,B,50,6,CR1B61,1/7/2019,NA,-13.26,1.17,15.18,0.87
CR,1,B,50,6,CR1B62,1/7/2019,NA,-13.26,1.12,19.09,1.14
CR,1,B,50,6,CR1B61,9/2/2020,0.38,NA,NA,NA,NA
CR,1,B,50,6,CR1B62,9/2/2020,0.34,NA,NA,NA,NA
CR,1,B,40,8,CR1B81,1/7/2019,NA,-13.74,1.55,14.57,0.92
CR,1,B,40,8,CR1B82,1/7/2019,NA,-12.69,0.76,17.15,0.96
CR,1,B,40,8,CR1B81,9/2/2020,0.5,NA,NA,NA,NA
CR,1,B,40,8,CR1B82,9/2/2020,0.38,NA,NA,NA,NA
CR,1,B,40,10,CR1B101,1/7/2019,NA,-13.23,0.93,16.35,0.97
CR,1,B,40,10,CR1B102,1/7/2019,NA,-16.47,1,19.43,1.29
CR,1,B,40,10,CR1B101,9/2/2020,0.41,NA,NA,NA,NA
CR,1,B,40,10,CR1B102,9/2/2020,0.43,NA,NA,NA,NA
CR,1,B,30,12,CR1B121,1/7/2019,NA,-13.35,2.59,18.89,1.24
CR,1,B,30,12,CR1B122,1/7/2019,NA,-13.02,2.56,15.99,0.91
CR,1,B,30,12,CR1B122,9/2/2020,0.36,NA,NA,NA,NA
CR,1,B,30,12,CR1B122b,9/2/2020,0.37,NA,NA,NA,NA
CR,1,C,60,0,CR101,1/7/2019,NA,-17.55,-0.24,18.74,1.31
CR,1,C,60,0,CR102,1/7/2019,NA,-18.48,1.39,26.91,1.82
CR,1,C,60,1,CR1C11,1/7/2019,NA,-15.78,1.48,20.93,1.36
CR,1,C,60,1,CR1C13,1/7/2019,NA,-16.79,1.18,32.06,2.19
CR,1,C,60,2,CR1C23,1/7/2019,NA,-16.14,3.42,21.96,1.3
CR,1,C,60,2,CR1C22,1/7/2019,NA,-15.52,1.63,19.51,1.31
CR,1,C,70,4,CR1C41,1/7/2019,NA,-13.89,1.77,17.63,0.96
CR,1,C,70,4,CR1C42,1/7/2019,NA,-13.22,-1.05,17.44,0.92
CR,1,C,70,6,CR1C61,1/7/2019,NA,-13.74,1.97,20.77,1.27
CR,1,C,70,6,CR1C62,1/7/2019,NA,-15.9,1.56,21.38,1.38
CR,1,C,80,8,CR1C81,1/7/2019,NA,-15.72,1.88,18.18,1.22
CR,1,C,80,8,CR1C82,1/7/2019,NA,-15.37,1,20.83,1.37
CR,1,C,80,10,CR1C101,1/7/2019,NA,-14.13,2.05,22.9,1.23
CR,1,C,80,10,CR1C102,1/7/2019,NA,-13.42,1.6,18.36,0.98
CR,1,C,90,12,CR1C121,1/7/2019,NA,-12.96,0.82,20.67,1.11
CR,1,C,90,12,CR1C122,1/7/2019,NA,-12.07,4.9,16.7,0.89
CR,1,E,60,0,CR101,1/7/2019,NA,-17.55,-0.24,18.74,1.31
CR,1,E,60,0,CR102,1/7/2019,NA,-18.48,1.39,26.91,1.82
CR,1,E,60,0,CR101,9/2/2020,0.57,NA,NA,NA,NA
CR,1,E,60,0,CR102,9/2/2020,0.61,NA,NA,NA,NA
CR,1,E,60,1,CR1E11,1/7/2019,NA,-15.44,0.84,17.83,1.11
CR,1,E,60,1,CR1E12,1/7/2019,NA,-16.31,1.6,21.04,1.54
CR,1,E,60,2,CR1E21,1/7/2019,NA,-16.28,1.45,22.57,1.48
CR,1,E,60,2,CR1E22,1/7/2019,NA,-16.4,1.22,17.93,1.21
CR,1,E,60,2,CR1E21,9/2/2020,0.48,NA,NA,NA,NA
CR,1,E,60,2,CR1E22,9/2/2020,0.48,NA,NA,NA,NA
CR,1,E,69,6,CR1E61,1/7/2019,NA,-13.45,3.16,19.19,1.14
CR,1,E,69,6,CR1E62,1/7/2019,NA,-12.95,0.69,19.71,1.14
CR,1,E,69,6,CR1E61,9/2/2020,0.42,NA,NA,NA,NA
CR,1,E,69,6,CR1E62,9/2/2020,0.45,NA,NA,NA,NA
CR,1,E,69,8,CR1E81,1/7/2019,NA,-12.8,1.69,18.79,1.11
CR,1,E,69,8,CR1E82,1/7/2019,NA,-11.73,0.57,16.36,0.93
CR,1,E,69,8,CR1E81,9/2/2020,0.44,NA,NA,NA,NA
CR,1,E,69,8,CR1E82,9/2/2020,0.4,NA,NA,NA,NA
