site,fp,transect,distance,grid,id,date,P,X13C,X15N,C,N
NDR,1,A,0,63,NDR102,9/2/2020,0.58,NA,NA,NA,NA
NDR,1,A,0,63,NDR103,9/2/2020,0.46,NA,NA,NA,NA
NDR,1,A,0,63,C0 R1,,NA,-15.9,1.8,21,1.4
NDR,1,A,0,63,C0 R2,,NA,-16,1.8,21.9,1.3
NDR,1,A,0,63,C0 R2-b,,NA,-16.1,1.7,22.2,1.4
NDR,1,A,0,63,C0 R3,,NA,-12,1.9,18,0.9
NDR,1,A,1,63,NDR1A122,9/2/2020,0.57,NA,NA,NA,NA
NDR,1,A,2,63,NDR1A21,9/2/2020,0.69,NA,NA,NA,NA
NDR,1,A,2,63,NDR1A23,9/2/2020,0.54,NA,NA,NA,NA
NDR,1,A,2,63,A2 R2-b,,NA,-14.5,1.6,20.8,1.3
NDR,1,A,2,63,A2.0 R1,,NA,-14.7,1.8,21.4,1.4
NDR,1,A,2,63,A2.0 R2,,NA,-14.4,1.8,20.4,1.3
NDR,1,A,2,63,A2.0 R3,,NA,-16.1,1.5,22.3,1.5
NDR,1,A,4,64,NDR1A42,9/2/2020,0.54,NA,NA,NA,NA
NDR,1,A,4,64,NDR1A43,9/2/2020,0.46,NA,NA,NA,NA
NDR,1,A,4,64,A4.0 R1,,NA,-12.4,1.8,19.8,0.9
NDR,1,A,4,64,A4.0 R2,,NA,-13.7,1.8,16.5,1
NDR,1,A,4,64,A4.0 R3,,NA,-13.3,1.8,21,1.2
NDR,1,A,6,64,NDR1A61,9/2/2020,0.55,NA,NA,NA,NA
NDR,1,A,6,64,NDR1A63,9/2/2020,0.56,NA,NA,NA,NA
NDR,1,A,6,64,A6.0 R1,,NA,-15,1.5,22.4,1.4
NDR,1,A,6,64,A6.0 R2,,NA,-13.8,1.7,22.9,1.4
NDR,1,A,6,64,A6.0 R3,,NA,-14.7,1.8,24.5,1.5
NDR,1,A,8,65,NDR1A81,9/2/2020,0.58,NA,NA,NA,NA
NDR,1,A,8,65,NDR1A82,9/2/2020,0.55,NA,NA,NA,NA
NDR,1,A,8,65,A8.0 R1,,NA,-15.1,1.4,26.7,1.6
NDR,1,A,8,65,A8.0 R2,,NA,-14.1,1.9,23.5,1.4
NDR,1,A,8,65,A8.0 R3,,NA,-15.3,1.6,24.7,1.6
NDR,1,A,10,65,NDR1A101,9/2/2020,0.63,NA,NA,NA,NA
NDR,1,A,10,65,NDR1A102,9/2/2020,0.5,NA,NA,NA,NA
NDR,1,A,10,65,A10.0 R1,,NA,-15.3,1.6,26.9,1.7
NDR,1,A,10,65,A10.0 R2,,NA,-14.4,1.8,24.9,1.7
NDR,1,A,12,71,NDR1A121,9/2/2020,0.53,NA,NA,NA,NA
NDR,1,A,12,71,A12.0 R1,,NA,-14.9,1.1,21.7,1.3
NDR,1,A,12,71,A12.0 R2,,NA,-13.4,1.7,21.1,1.4
NDR,1,A,12,71,A12.0 R3,,NA,-13.9,1.9,21.3,1.4
NDR,1,C,0,63,NDR102,9/2/2020,0.58,NA,NA,NA,NA
NDR,1,C,0,63,NDR103,9/2/2020,0.46,NA,NA,NA,NA
NDR,1,C,0,63,C0 R1,,NA,-15.9,1.8,21,1.4
NDR,1,C,0,63,C0 R2,,NA,-16,1.8,21.9,1.3
NDR,1,C,0,63,C0 R2-b,,NA,-16.1,1.7,22.2,1.4
NDR,1,C,0,63,C0 R3,,NA,-12,1.9,18,0.9
NDR,1,C,2,63,C2 R1,,NA,-11.6,1.5,20.5,1.1
NDR,1,C,2,63,C2 R2,,NA,-16.7,1.8,21,1.4
NDR,1,C,2,63,C2 R3,,NA,-11.7,2,19.8,1
NDR,1,C,4,68,NDR1C42,9/2/2020,0.4,NA,NA,NA,NA
NDR,1,C,4,68,NDR1C43,9/2/2020,0.41,NA,NA,NA,NA
NDR,1,C,4,68,C4 R2,,NA,-11.5,1.9,20.8,1
NDR,1,C,4,68,C4 R3,,NA,-12.4,1.8,20.5,1.1
NDR,1,C,6,68,NDR1C62,9/2/2020,0.32,NA,NA,NA,NA
NDR,1,C,6,68,NDR1C82,9/2/2020,0.33,NA,NA,NA,NA
NDR,1,C,6,68,NDR1C63,9/2/2020,0.28,NA,NA,NA,NA
NDR,1,C,6,68,C6 R1,,NA,-9.2,1.7,18.4,0.7
NDR,1,C,6,68,C6 R2,,NA,-8.7,1.7,18.1,0.7
NDR,1,C,6,68,C6 R3,,NA,-8.9,1.4,18.7,0.7
NDR,1,C,8,67,NDR1C83,9/2/2020,0.33,NA,NA,NA,NA
NDR,1,C,8,67,C8 R1,,NA,-10.2,1.7,17.8,0.8
NDR,1,C,8,67,C8 R3,,NA,-12.2,1.1,21.5,1.1
NDR,1,C,10,67,NDR1C101,9/2/2020,0.36,NA,NA,NA,NA
NDR,1,C,10,67,NDR1C103,9/2/2020,0.31,NA,NA,NA,NA
NDR,1,C,10,67,C10 R1,,NA,-10.5,1.6,20.3,0.9
NDR,1,C,10,67,C10 R2,,NA,-9.6,1.4,18.9,0.8
NDR,1,C,10,67,C10 R3,,NA,-10.9,1.5,19.8,0.8
NDR,1,C,12,73,NDR1C22,9/2/2020,0.53,NA,NA,NA,NA
NDR,1,C,12,73,NDR1C121,9/2/2020,0.3,NA,NA,NA,NA
NDR,1,C,12,73,NDR1C123,9/2/2020,0.3,NA,NA,NA,NA
NDR,1,C,12,73,C12 R1,,NA,-9.8,1.6,19.7,0.8
NDR,1,C,12,73,C12 R2,,NA,-8.1,1.7,17,0.6
NDR,1,C,12,73,C12 R3,,NA,-9.1,1.4,18,0.8
NDR,1,E,0,63,NDR102,9/2/2020,0.58,NA,NA,NA,NA
NDR,1,E,0,63,NDR103,9/2/2020,0.46,NA,NA,NA,NA
NDR,1,E,0,63,C0 R1,,NA,-15.9,1.8,21,1.4
NDR,1,E,0,63,C0 R2,,NA,-16,1.8,21.9,1.3
NDR,1,E,0,63,C0 R2-b,,NA,-16.1,1.7,22.2,1.4
NDR,1,E,2,63,NDR1E21,9/2/2020,0.54,NA,NA,NA,NA
NDR,1,E,2,63,NDR1E22,9/2/2020,0.6,NA,NA,NA,NA
NDR,1,E,2,63,E2 R1,,NA,-13.2,1.7,19.4,1.8
NDR,1,E,2,63,E2 R1-b,,NA,-13.1,1.4,19.4,1
NDR,1,E,2,63,E2 R2,,NA,-18.6,1.5,21.7,1.6
NDR,1,E,4,57,NDR1E41,9/2/2020,0.63,NA,NA,NA,NA
NDR,1,E,4,57,NDR1E42,9/2/2020,0.73,NA,NA,NA,NA
NDR,1,E,4,57,E4 R1,,NA,-16.4,1.8,21.4,1.5
NDR,1,E,4,57,E4 R2,,NA,-15,1.5,18.9,1.1
NDR,1,E,4,57,E4 R3,,NA,-18.4,1.5,22.6,1
NDR,1,E,6,57,NDR1E61,9/2/2020,0.46,NA,NA,NA,NA
NDR,1,E,6,57,NDR1E63,9/2/2020,0.42,NA,NA,NA,NA
NDR,1,E,6,57,E6 R1,,NA,-13.7,1.6,18.4,1.1
NDR,1,E,6,57,E6 R2,,NA,-15.2,1.5,19.8,1.2
NDR,1,E,6,57,E6 R3,,NA,-14.7,1.3,19.7,1.2
NDR,1,E,8,51,NDR1E82,9/2/2020,0.46,NA,NA,NA,NA
NDR,1,E,8,51,NDR1E83,9/2/2020,0.44,NA,NA,NA,NA
NDR,1,E,8,51,E8 R1,,NA,-16,1.6,19.3,1
NDR,1,E,8,51,E8 R2,,NA,-13.1,1.5,18.3,1
