site,grid,vrm_1cm,height_diff,mean_curv,mean_pro_curv,mean_plan_curv,vrm_dev
CC,1,0.035415997,1.692785263,0.086572956,-1.241380477,-1.154807521,0.011680112
CC,2,0.022836576,0.746335983,-0.118900811,-1.922523445,-2.041424256,0.011768251
CC,3,0.030708154,0.947366238,-0.014353346,-1.694613461,-1.710260802,0.014600924
CC,4,0.035071285,0.831122398,-0.399320257,-2.300498713,-2.699818971,0.007141488
CC,5,0.094109331,2.918553829,-0.515070611,20.07958629,19.53787397,0.004622018
CC,6,0.166996309,4.828160763,-0.140335,27.33444777,27.19411277,0.028634249
CC,7,0.100481688,3.488270283,-1.304614019,18.12848719,16.82274823,0.01047922
CC,8,0.101820493,3.62041235,-0.048758212,5.062501037,5.013710166,0.024646974
CC,9,0.142454449,4.995571136,-0.599608451,42.60244482,42.00053616,0.012204752
CC,10,0.069978886,4.161389351,-0.610428864,7.504247666,6.99116048,0.007437076
CC,11,0.140963948,4.01829052,0.105737811,50.36170524,50.46673596,0.038272947
CC,12,0.157697383,4.784386635,-0.982181772,36.80750571,35.83607516,-0.000283716
CC,13,0.092703926,4.672982693,-0.361514086,95.62993951,95.26842543,0.005882158
CC,15,0.138928619,3.701766968,-0.215404427,41.81457294,41.62697874,0.016654292
CC,16,0.128049705,4.790117741,-0.13052812,75.38875388,75.25085301,0.047521079
CC,17,0.087426997,2.921301365,0.029663838,5.286884901,5.316548738,0.025523428
CC,18,0.10483215,2.319768906,0.250315669,19.19991967,19.45076883,0.034801964
CC,19,0.104332597,3.490461349,0.31877887,20.92732738,21.24598287,0.004256762
CC,20,0.150145323,4.058416843,0.476624217,28.63410922,29.11116916,0.006809919
CC,21,0.069467188,1.587471008,0.138800168,-5.668963383,-5.534759984,0.002938155
CC,22,0.082217612,1.370672226,0.307782416,-9.165390553,-8.857608137,-0.009468511
CC,23,0.106605119,1.688053131,-0.248397326,-12.12708522,-12.37787565,-0.013028849
CC,24,0.110231017,3.569201946,-1.226973031,14.78264879,13.55791402,-0.0037039
CC,25,0.069132131,2.799720764,0.335340352,3.204175961,3.539516313,0.021962442
CC,26,0.073806321,1.932217598,-0.365228235,-6.445816299,-6.827538248,0.015371271
CC,27,0.070183669,2.377510071,1.016706434,4.002880147,5.019586581,0.011588436
CC,28,0.035999664,1.89293623,0.081543306,-3.521330528,-3.440229671,0.014143972
CC,29,0.060192052,2.726279736,-0.167842089,-3.125457557,-3.293299646,0.020084056
CC,30,0.046441569,1.570858002,0.113252223,-1.633057468,-1.519636879,0.022022827
CC,31,0.088580562,2.009831429,0.194368829,-5.387433076,-5.193017101,0.008203864
CC,32,0.07671454,1.918775558,0.013790417,-0.478335968,-0.46454555,-0.0049536
CC,33,0.071769853,1.943676949,-0.127237521,-9.046371723,-9.174678493,0.004771027
CC,34,0.087091536,1.585726738,1.193418728,-6.945154304,-5.752733576,-0.005244188
CC,35,0.109401625,3.316531181,0.032167029,-1.594758449,-1.562591421,-0.008041486
CC,36,0.092582441,2.762048244,-0.06612808,1.016581753,0.956019155,-0.002574823
CC,37,0.129459215,2.826058388,-1.222663764,42.89180236,41.6691386,0.012787912
CC,38,0.147629621,3.089624882,-0.59081356,1.225920618,0.635648915,-0.011892135
CC,39,0.053489281,1.317032337,-0.003870136,-3.826351786,-3.830199472,0.018194259
CC,40,0.054539668,1.260557652,0.115880016,-4.803818292,-4.687887854,0.008275762
CC,41,0.080459621,2.359375477,-0.642998477,-1.680331794,-2.323964531,0.007094432
CC,42,0.105566464,2.516656876,-0.264566703,3.80977449,3.54560391,0.0043567
CC,43,0.079077879,2.366055489,-0.472777137,-3.712841888,-4.189672927,0.004623087
CC,44,0.084959886,1.687732697,0.901602652,-4.326357647,-3.406479781,0.010020853
CC,45,0.085642567,2.722586632,-0.280304408,-5.689626644,-5.969389359,0.019124712
CC,46,0.061037347,2.011665821,0.807287361,-1.376034044,-0.568746683,0.017969407
CC,47,0.073661887,2.069231033,0.631462528,0.454476912,1.086242701,0.007543301
CC,48,0.10375016,2.693343163,-0.638411171,-8.725666619,-9.363661174,0.000951327
CC,49,0.107547203,2.807627201,0.308325684,6.61260074,6.919757619,0.017035617
CC,50,0.090536182,2.786242008,-1.01482429,4.3352888,3.320124834,0.00627355
CC,51,0.047371125,1.652524471,0.570394738,-2.20115832,-1.631215119,0.01113935
CC,52,0.054489009,1.687376976,0.184161947,-3.677230629,-3.493068682,0.014736589
CC,53,0.083682983,2.282017708,0.456710671,-0.473653095,-0.015752422,0.000207218
CC,54,0.094344198,2.461202621,-0.005224589,-3.932212551,-3.937692642,0.003490873
CC,55,0.084066325,2.384752274,0.676300536,-6.849480765,-6.171952088,0.015037511
CC,56,0.071972338,2.32454443,0.27737797,-0.098795145,0.178582824,0.007930932
CC,57,0.08522743,1.797259808,-0.185554989,-6.272107295,-6.457662284,0.010583769
CC,58,0.100108183,2.258886337,-0.230509633,0.510889217,0.272768941,-0.003439409
CC,59,0.156303592,3.988415718,-0.091311912,116.3953712,116.3166247,0.045283877
CC,61,0.086803496,2.504466534,-0.201851887,-1.881579318,-2.083431205,0.004874241
CC,62,0.058528587,2.724779606,0.191177245,-1.928547297,-1.737370052,0.010431534
CC,63,0.065692358,1.82612896,0.157207557,-0.431989132,-0.274613135,0.015809789
CC,64,0.070935738,2.43675518,0.334930844,-0.424514338,-0.089031877,0.013221849
CC,65,0.119154384,2.942321301,-0.340866751,34.31118048,33.96381348,0.01922287
CC,66,0.133614996,2.814266682,0.408135774,6.31713782,6.725273594,8.18E-05
CC,67,0.101483236,2.671600342,0.422692062,-6.344275879,-5.921903997,0.004776862
CC,68,0.079119167,2.367356777,0.24594744,-7.40132335,-7.155181411,0.012114595
CC,69,0.109760207,2.586732388,0.284136816,-6.574450803,-6.290313987,0.012740483
CC,70,0.092045699,5.699969292,-0.509948934,9.680738121,9.115396851,0.033314245
CC,71,0.102377354,3.868895531,0.174138589,57.06216788,57.23709261,0.004324489
CC,72,0.055899036,2.674636841,0.104000441,12.27718237,12.37985958,0.028383628
CC,73,0.066730375,2.566537857,1.18928592,1.016116803,2.20540207,0.029065436
CC,74,0.078673436,2.521672726,-0.570540429,0.680201725,0.109926903,0.025302718
CC,75,0.078937162,2.796762466,0.080821279,6.760173777,6.840995056,0.024237335
CC,76,0.055079645,2.236108303,0.630123225,5.966494848,6.596483508,0.02891167
CC,77,0.070432823,1.880133152,-0.018702971,-9.708121763,-9.729512743,0.018017633
CC,78,0.079985348,2.0475173,-0.174253831,-10.72332016,-10.8989213,0.015321983
CC,79,0.077413106,2.045582294,-0.359374482,-11.66095007,-12.00902402,0.021284621
CC,80,0.090474402,2.970870495,0.123466344,0.790730129,0.914130664,0.034775044
CC,81,0.045482512,1.828660965,-0.078674153,1.050488912,0.994922592,0.021504421
CC,82,0.06443374,2.511548996,0.321586359,-0.343709536,-0.022405823,0.030447047
CC,83,0.065617552,2.676318169,-1.108961586,2.038420428,0.931253367,0.03273738
CC,84,0.083908996,2.382192612,-0.6329731,18.53804264,17.90506954,0.023782217
CC,85,0.061435873,2.499438763,0.329934978,-0.626219791,-0.296261661,0.023466001
CC,86,0.061390142,2.133352757,0.136236186,-7.341463305,-7.205484212,0.014892983
CC,87,0.080575854,2.338724613,-0.128137329,-9.305314472,-9.44408914,0.013867927
CC,88,0.066877006,1.747944355,0.022723721,-5.980353597,-5.957629877,0.022352541
CC,89,0.06567293,1.597603798,0.389644556,-11.28573749,-10.89736758,0.021221208
CC,90,0.063987544,2.197609425,-0.278850682,-4.535623941,-4.814474623,0.034933513
CC,91,0.086179665,2.897631645,0.02801866,15.95419753,15.98249683,0.017873271
CC,92,0.082505541,2.922916412,0.202248662,9.221315895,9.423200111,0.025873293
CC,93,0.081531089,3.206726551,0.377861934,16.80487944,17.18274138,0.012171445
CC,94,0.073566598,3.187773228,-0.40073162,14.25284978,13.85211816,0.025571405
CC,95,0.071416458,2.530629635,0.11952098,-11.47543725,-11.35591627,0.016835745
CC,96,0.050872008,2.57507515,0.083941623,-5.521483872,-5.437542249,0.017777416
CC,97,0.083680643,2.289327621,-0.238678917,-10.8381544,-11.07683332,0.024080922
CC,98,0.082484749,1.755052567,-0.113942985,-10.49514285,-10.60908583,0.036328871
CR,1,0.065104788,2.110561371,-0.0623416,-3.97812934,-4.039570178,-0.003699302
CR,2,0.057774282,1.006903648,0.014615022,-5.611555532,-5.596909575,-0.003687849
CR,3,0.060262571,1.749868393,-0.268889019,-3.754704001,-4.018733842,0.004484456
CR,4,0.057789579,2.547242641,-0.326712347,-3.636365856,-3.962352502,0.002995772
CR,5,0.071142893,1.72933197,0.074332817,-4.370890555,-4.296803067,0.009071683
CR,6,0.046122228,2.018838882,0.44600469,-2.608268938,-2.162914019,0.014177693
CR,7,0.055889539,1.658190727,0.087909617,-3.276381397,-3.188763468,0.008876857
CR,8,0.054804082,1.467518806,-0.192050117,-2.742448762,-2.934657615,0.012285972
CR,9,0.064953339,2.183596611,0.13893725,-3.891207654,-3.752311122,0.008050148
CR,10,0.063427694,1.842902184,0.8315295,-3.896104796,-3.063400911,0.008913535
CR,11,0.057761594,1.708381653,0.134943846,-2.560016858,-2.424468503,0.009032775
CR,12,0.079851182,2.352329731,-0.192714491,-3.636880558,-3.830280293,0.000846045
CR,13,0.082960653,1.682790279,-0.016024436,-7.421199368,-7.438057318,0.003032524
CR,15,0.053076262,3.270487785,0.017425816,-1.453486618,-1.437993965,0.004546672
CR,16,0.046382569,1.760848999,0.017251753,-2.6149777,-2.597461738,0.013241174
CR,17,0.055556161,2.516582489,-0.02573608,-3.513032293,-3.538768374,0.011127361
CR,18,0.069517318,2.423336029,-0.0854843,-3.854478547,-3.940629172,0.010635663
CR,19,0.077376448,2.717886925,-0.015087881,-5.664574612,-5.679813031,0.00876133
CR,20,0.090959735,3.04733181,0.112786493,-5.518503663,-5.399544258,0.00934816
CR,21,0.075544889,2.498052597,0.094732371,-0.173562102,-0.081895113,0.012593214
CR,22,0.058561824,1.620936394,0.146318905,-4.123297674,-3.965537432,0.003988559
CR,23,0.086333094,1.812607765,-0.246007534,-10.37922249,-10.61991159,-0.002153389
CR,24,0.102384835,1.495941162,-0.274475898,-12.4695998,-12.7474897,-0.014869139
CR,25,0.083971396,2.938838005,-0.103790504,-3.985869733,-4.077170104,-0.00089219
CR,26,0.094887459,2.671134949,-0.581326501,-7.065142863,-7.645265139,-0.003359932
CR,27,0.066051705,1.756376266,-0.007636839,-7.175521116,-7.175647572,-0.001849448
CR,28,0.061624016,2.17815876,0.220609663,-3.98185421,-3.739551124,0.008089458
CR,29,0.078207166,2.647110939,-0.104530313,-2.305846067,-2.428044298,0.003952889
CR,30,0.087049042,1.827741623,0.173613267,-1.460772069,-1.26342863,-0.000792811
CR,31,0.061191351,1.904438019,-0.206189818,-2.061424396,-2.261868703,-0.000177424
CR,32,0.062203287,2.966527939,-0.331328364,7.474347485,7.197805079,0.007249191
CR,33,0.076684483,1.54580307,0.026218481,-6.343671063,-6.305313113,-0.010132035
CR,34,0.081808089,1.442287445,-0.059973468,-7.539565303,-7.624249342,-0.012872544
CR,35,0.072723582,2.157050133,-0.162653628,-1.836841303,-2.001741487,0.004494925
CR,36,0.062822648,1.787150383,-0.354784069,-1.642033013,-2.000096894,0.014175112
CR,37,0.103235299,3.097588062,-0.284350479,6.291133798,6.001037171,-0.007656257
CR,38,0.03074755,1.135232925,0.014323867,-1.277979664,-1.263215279,-0.002617406
CR,39,0.021935367,0.82601738,0.021981403,-0.571796202,-0.550065348,-0.004076948
CR,40,0.104489829,2.870377541,-0.214842996,3.566169002,3.345401178,-0.013408141
CR,41,0.089855786,2.558746815,0.261791818,3.518715542,3.789092924,-0.010750319
CR,42,0.101797749,3.182602882,-0.228337937,29.31157241,29.07495664,0.013853164
CR,43,0.098058858,1.375114441,-0.104646074,-5.655170151,-5.759816225,0.000107733
CR,44,0.08643241,1.126806259,0.281843872,-8.771935756,-8.490091884,0.00923138
CR,45,0.059075486,0.848882675,0.707149562,-3.429466127,-2.720370044,0.021392667
CR,46,0.091094097,1.670002937,0.755158734,-3.397906499,-2.642747765,0.014927225
CR,47,0.14742021,1.436548233,-1.481071161,-4.861873648,-6.341233388,-0.013148405
CR,48,0.100719742,2.660960197,0.637956128,-7.578779599,-6.949034963,-0.004467002
CR,49,0.090271133,2.182385921,-0.034886996,-3.878967517,-3.913996622,0.006716053
CR,50,0.096533158,2.471953392,3.227617861,14.79773602,18.02535388,0.012169515
