survey,grid,common_name,life_phase,total_length,transit
1,1,Doctorfish,A,15,NA
1,1,Doctorfish,A,15,NA
1,1,Scrawled Filefish,A,32,NA
1,2,Blue Parrotfish,A,31,NA
1,2,Blue Tang,A,17,NA
1,2,Graysby,A,16,NA
1,2,Porkfish,A,16,NA
1,2,Redband Parrotfish,I,15,NA
1,2,Spotted Goatfish,A,15,transit
1,2,Yellow Stingray,A,23,NA
1,3,French Grunt,A,15,NA
1,3,French Grunt,A,17,NA
1,3,Princess Parrotfish,A,34,transit
1,3,Puddingwife,A,25,transit
1,3,Redband Parrotfish,A,16,NA
1,3,Yellowtail Snapper,A,16,NA
1,4,French Grunt,A,15,NA
1,4,Gray Angelfish,A,19,NA
1,4,Ocean Surgeonfish,A,22,transit
1,4,Stoplight Parrotfish,J,32,NA
1,4,Stoplight Parrotfish,A,32,NA
1,5,Blue Parrotfish,A,36,transit
1,5,French Grunt,A,15,NA
1,5,Stoplight Parrotfish,A,28,NA
1,6,Doctorfish,A,15,NA
1,6,Doctorfish,A,15,NA
1,6,Doctorfish,A,16,NA
1,6,Ocean Surgeonfish,A,17,NA
1,6,Princess Parrotfish,I,16,NA
1,6,Redband Parrotfish,A,16,NA
1,6,Redband Parrotfish,A,17,NA
1,6,Redband Parrotfish,I,15,NA
1,6,Redband Parrotfish,I,16,NA
1,6,Stoplight Parrotfish,J,28,NA
1,7,Chub sp.,A,30,transit
1,7,Chub sp.,A,30,transit
1,7,Nurse Shark,A,123,transit
1,7,Nurse Shark,A,184,transit
1,7,Princess Parrotfish,J,16,NA
1,8,Stoplight Parrotfish,I,16,NA
1,8,Yellowtail Parrotfish,A,32,transit
1,8,Yellowtail Snapper,A,22,NA
1,8,Yellowtail Snapper,A,18,NA
1,8,Yellowtail Snapper,A,16,NA
1,9,Doctorfish,A,15,NA
1,9,Yellowtail Snapper,A,17,NA
1,9,Yellowtail Snapper,A,18,NA
1,9,Yellowtail Snapper,A,17,NA
1,10,Blue Tang,A,18,NA
1,10,Bluestriped Grunt,A,20,NA
1,10,Bluestriped Grunt,A,18,NA
1,10,French Grunt,A,14,NA
1,10,French Grunt,A,15,NA
1,10,French Grunt,A,16,NA
1,10,French Grunt,A,17,NA
1,10,French Grunt,A,18,NA
1,10,French Grunt,A,14,NA
1,10,French Grunt,A,15,NA
1,10,French Grunt,A,16,NA
1,10,French Grunt,A,17,NA
1,10,French Grunt,A,18,NA
1,10,French Grunt,A,14,NA
1,10,French Grunt,A,15,NA
1,10,French Grunt,A,16,NA
1,10,French Grunt,A,17,NA
1,10,Ocean Surgeonfish,A,19,NA
1,10,Smallmouth Grunt,A,14,NA
1,10,Smallmouth Grunt,A,15,NA
1,10,Smallmouth Grunt,A,16,NA
1,10,Smallmouth Grunt,A,17,NA
1,10,Smallmouth Grunt,A,14,NA
1,10,Smallmouth Grunt,A,15,NA
1,10,Smallmouth Grunt,A,16,NA
1,10,Squirrelfish,A,15,NA
1,10,Squirrelfish,A,16,NA
1,10,Squirrelfish,A,17,NA
1,10,Stoplight Parrotfish,I,27,NA
1,10,Tomtate,A,13,NA
1,10,Tomtate,A,14,NA
1,10,Tomtate,A,15,NA
1,10,Tomtate,A,13,NA
1,10,Tomtate,A,14,NA
1,10,Tomtate,A,15,NA
1,10,Tomtate,A,13,NA
1,10,Tomtate,A,14,NA
1,10,Tomtate,A,15,NA
1,10,Tomtate,A,13,NA
1,10,Tomtate,A,14,NA
1,10,Tomtate,A,15,NA
1,10,Tomtate,A,14,NA
1,12,Ocean Surgeonfish,A,17,NA
1,13,Doctorfish,A,15,NA
1,13,Grey Snapper,A,17,NA
1,13,Redband Parrotfish,A,21,NA
1,13,Yellowtail Snapper,A,18,NA
1,13,Yellowtail Snapper,A,17,NA
1,14,Yellowtail Snapper,A,18,NA
1,15,Yellow Stingray,A,19,NA
1,15,Yellowtail Parrotfish,A,34,NA
1,16,Blue Parrotfish,A,36,transit
1,16,Doctorfish,A,17,NA
1,16,Doctorfish,A,15,NA
1,16,Ocean Surgeonfish,A,16,NA
1,16,Yellowtail Snapper,A,17,NA
1,16,Yellowtail Snapper,A,18,NA
1,16,Yellowtail Snapper,A,19,NA
1,16,Yellowtail Snapper,A,20,NA
1,17,Yellowtail Snapper,A,16,NA
1,18,Chub sp.,A,28,NA
1,18,Chub sp.,A,29,NA
1,18,Chub sp.,A,30,NA
1,18,Chub sp.,A,31,NA
1,18,Chub sp.,A,32,NA
1,18,Chub sp.,A,33,NA
1,18,Chub sp.,A,34,NA
1,18,Chub sp.,A,28,NA
1,18,Chub sp.,A,29,NA
1,18,Chub sp.,A,30,NA
1,18,Chub sp.,A,31,NA
1,18,Chub sp.,A,32,NA
1,18,Chub sp.,A,33,NA
1,18,Chub sp.,A,34,NA
1,18,Chub sp.,A,28,NA
1,18,Chub sp.,A,31,NA
1,18,Chub sp.,A,33,NA
1,18,Chub sp.,A,34,NA
1,18,Chub sp.,A,29,NA
1,18,Redband Parrotfish,A,18,transit
1,18,Yellowtail Snapper,A,15,NA
1,18,Yellowtail Snapper,A,16,NA
1,19,Yellowtail Snapper,A,21,NA
1,19,Yellowtail Snapper,A,19,NA
1,20,Bar Jack,A,19,transit
1,20,Bluestriped Grunt,A,17,NA
1,20,Graysby,A,15,NA
1,20,Hogfish,A,33,NA
1,20,Ocean Surgeonfish,A,22,NA
1,20,Redband Parrotfish,A,15,NA
1,20,Stoplight Parrotfish,I,15,NA
1,20,White Grunt,A,16,NA
1,20,Yellowtail Snapper,A,16,NA
1,20,Yellowtail Snapper,A,18,NA
1,20,Yellowtail Snapper,A,19,NA
2,21,Bar Jack,A,18,NA
2,21,Bar Jack,A,19,NA
2,21,Bar Jack,A,20,NA
2,21,Bar Jack,A,21,NA
2,21,Bar Jack,A,22,NA
2,21,Bar Jack,A,19,NA
2,21,Bar Jack,A,20,NA
2,21,Bar Jack,A,22,NA
2,21,Blue Tang,A,20,NA
2,21,Yellowtail Snapper,A,19,NA
2,21,Yellowtail Snapper,A,20,NA
2,21,Yellowtail Snapper,A,21,NA
2,21,Yellowtail Snapper,A,22,NA
2,23,Blue Tang,A,21,NA
2,23,Blue Tang,A,22,NA
2,23,French Grunt,A,21,NA
2,23,Ocean Surgeonfish,A,19,NA
2,23,Redband Parrotfish,I,21,NA
2,23,Striped Parrotfish,J,15,NA
2,23,Striped Parrotfish,J,15,NA
2,23,White Grunt,A,24,transit
2,23,Yellowtail Snapper,A,23,NA
2,23,Yellowtail Snapper,A,25,NA
2,24,Bermuda Chub,A,NA,transit
2,24,Yellowtail Snapper,A,24,NA
2,25,Yellowtail Snapper,A,18,NA
2,25,Yellowtail Snapper,A,20,NA
2,25,Yellowtail Snapper,A,18,NA
2,26,Blue Tang,A,21,NA
2,26,Blue Tang,A,20,transit
2,26,Ocean Surgeonfish,A,15,NA
2,26,White Grunt,A,27,transit
2,27,Blue Tang,A,21,NA
2,27,Ocean Surgeonfish,A,16,NA
2,27,Ocean Surgeonfish,A,17,NA
2,27,Ocean Surgeonfish,A,17,NA
2,27,Ocean Surgeonfish,A,19,NA
2,27,Ocean Surgeonfish,A,20,NA
2,27,Redband Parrotfish,I,21,NA
2,27,Yellowtail Snapper,A,21,transit
2,28,Ocean Surgeonfish,A,NA,NA
2,28,Ocean Surgeonfish,A,16,NA
2,28,Yellowtail Snapper,A,27,transit
2,28,Yellowtail Snapper,A,24,transit
2,28,Yellowtail Snapper,A,26,transit
2,29,Blue Tang,A,21,NA
2,29,Ocean Surgeonfish,A,17,NA
2,29,Ocean Surgeonfish,A,20,NA
2,29,Redband Parrotfish,I,23,NA
2,29,Yellowtail Snapper,A,25,transit
2,29,Yellowtail Snapper,A,25,transit
2,29,Yellowtail Snapper,A,26,transit
2,29,Yellowtail Snapper,A,25,transit
2,29,Yellowtail Snapper,A,25,transit
2,29,Yellowtail Snapper,A,26,transit
2,30,Blue Tang,A,17,NA
2,30,Ocean Surgeonfish,A,20,NA
2,30,Redband Parrotfish,I,20,NA
2,30,White Grunt,A,22,NA
2,30,Yellowtail Snapper,A,20,NA
2,30,Yellowtail Snapper,A,21,NA
2,30,Yellowtail Snapper,A,22,NA
2,30,Yellowtail Snapper,A,22,NA
2,30,Yellowtail Snapper,A,22,NA
2,30,Yellowtail Snapper,A,23,NA
2,30,Yellowtail Snapper,A,24,NA
2,30,Yellowtail Snapper,A,22,NA
2,31,Banded Butterflyfish,A,18,NA
2,31,Banded Butterflyfish,A,17,NA
2,31,Blue Parrotfish,A,35,NA
2,31,Gray Angelfish,A,31,NA
2,31,Ocean Surgeonfish,A,17,transit
2,32,Scrawled Filefish,A,34,transit
2,33,Ocean Surgeonfish,A,24,transit
2,33,Ocean Surgeonfish,A,16,NA
2,33,Ocean Surgeonfish,A,17,NA
2,33,Redtail Parrotfish,I,34,NA
2,33,Spotted Goatfish,A,27,NA
2,33,Yellowtail Snapper,A,22,NA
2,34,Blue Tang,A,NA,NA
2,34,Ocean Surgeonfish,A,16,transit
2,34,Ocean Surgeonfish,A,18,transit
2,34,Ocean Surgeonfish,A,19,NA
2,34,Scrawled Filefish,A,34,transit
2,34,Striped Parrotfish,I,22,transit
2,34,Yellowtail Snapper,A,17,transit
2,34,Yellowtail Snapper,A,18,transit
2,34,Yellowtail Snapper,A,19,transit
2,34,Yellowtail Snapper,A,20,transit
2,36,Ocean Surgeonfish,A,18,NA
2,36,Ocean Surgeonfish,A,20,NA
2,36,Ocean Surgeonfish,A,20,NA
2,36,Ocean Surgeonfish,A,20,NA
2,36,Yellowtail Snapper,A,17,NA
2,36,Yellowtail Snapper,A,18,NA
2,36,Yellowtail Snapper,A,19,NA
2,36,Yellowtail Snapper,A,19,NA
2,36,Yellowtail Snapper,A,20,NA
2,36,Yellowtail Snapper,A,21,NA
2,37,Blue Tang,A,23,transit
2,37,Ocean Surgeonfish,A,18,NA
2,37,Yellowtail Snapper,A,24,NA
2,38,Yellowtail Snapper,A,26,transit
2,40,Midnight Parrotfish,A,45,transit
2,40,Midnight Parrotfish,A,45,transit
2,40,Midnight Parrotfish,A,46,transit
2,40,Midnight Parrotfish,A,46,transit
2,40,Midnight Parrotfish,A,47,transit
2,40,Midnight Parrotfish,A,47,transit
2,40,Midnight Parrotfish,A,48,transit
2,40,Midnight Parrotfish,A,48,transit
2,40,Midnight Parrotfish,A,49,transit
2,40,Midnight Parrotfish,A,49,transit
2,40,Midnight Parrotfish,A,50,transit
2,40,Midnight Parrotfish,A,50,transit
2,40,Midnight Parrotfish,A,51,transit
2,40,Midnight Parrotfish,A,51,transit
2,40,Midnight Parrotfish,A,52,transit
2,40,Midnight Parrotfish,A,52,transit
2,40,Midnight Parrotfish,A,53,transit
2,40,Midnight Parrotfish,A,53,transit
2,40,Midnight Parrotfish,A,54,transit
2,40,Midnight Parrotfish,A,54,transit
2,40,Midnight Parrotfish,A,55,transit
2,40,Midnight Parrotfish,A,55,transit
2,40,Midnight Parrotfish,A,56,transit
2,40,Midnight Parrotfish,A,57,transit
2,40,Midnight Parrotfish,A,57,transit
2,40,Midnight Parrotfish,A,58,transit
2,40,Midnight Parrotfish,A,58,transit
2,40,Midnight Parrotfish,A,52,transit
2,40,Midnight Parrotfish,A,49,transit
2,40,Midnight Parrotfish,A,50,transit
2,40,Midnight Parrotfish,A,51,transit
2,40,Midnight Parrotfish,A,52,transit
2,40,Midnight Parrotfish,A,53,NA
2,40,Midnight Parrotfish,A,54,NA
2,40,Ocean Surgeonfish,A,15,NA
2,40,Ocean Surgeonfish,A,16,NA
2,40,Ocean Surgeonfish,A,16,NA
2,40,Ocean Surgeonfish,A,17,NA
2,40,Yellowtail Snapper,A,25,NA
3,41,Redband Parrotfish,I,6,NA
3,41,Striped Parrotfish,I,13,NA
3,41,Striped Parrotfish,I,11,NA
3,41,White Grunt,A,17,NA
3,42,Blue Tang,A,17,NA
3,42,Doctorfish,A,15,NA
3,43,Yellowtail Snapper,A,20,NA
3,44,Ocean Surgeonfish,A,16,NA
3,44,Ocean Surgeonfish,A,16,NA
3,44,Redband Parrotfish,I,17,NA
3,44,Redband Parrotfish,I,16,NA
3,45,Blue Tang,A,16,NA
3,45,Goldentail Moray,A,45,NA
3,45,Stoplight Parrotfish,I,36,NA
3,46,Ocean Surgeonfish,A,15,NA
3,46,Ocean Surgeonfish,A,16,NA
3,47,Yellowtail Snapper,A,21,NA
3,48,Blue Tang,A,17,NA
3,48,Yellowtail Snapper,A,19,NA
3,48,Yellowtail Snapper,A,18,NA
3,48,Yellowtail Snapper,A,21,NA
3,49,Blue Tang,A,17,NA
3,49,Striped Parrotfish,I,30,NA
3,49,Yellowtail Parrotfish,A,30,NA
3,50,Doctorfish,A,15,NA
3,50,Doctorfish,A,16,NA
3,50,Doctorfish,A,17,NA
3,50,Doctorfish,A,18,NA
3,50,Doctorfish,A,15,NA
3,50,Doctorfish,A,16,NA
3,51,Scrawled Filefish,A,40,transit
3,51,Squirrelfish,A,35,NA
3,51,Yellowtail Snapper,A,20,NA
3,51,Yellowtail Snapper,A,17,NA
3,51,Yellowtail Snapper,A,19,NA
3,52,Doctorfish,A,16,NA
3,52,Doctorfish,A,17,NA
3,52,Redband Parrotfish,I,6,NA
3,52,Redband Parrotfish,I,9,NA
3,52,Scrawled Filefish,A,50,transit
3,53,Doctorfish,A,15,NA
3,53,Ocean Surgeonfish,A,17,NA
3,53,Redband Parrotfish,I,18,NA
3,53,Yellowtail Parrotfish,A,33,transit
3,54,Redband Parrotfish,I,16,NA
3,55,Doctorfish,A,18,NA
3,55,Ocean Surgeonfish,A,16,NA
3,55,Redband Parrotfish,A,16,NA
3,56,Yellowtail Snapper,A,18,NA
3,56,Yellowtail Snapper,A,16,NA
3,57,Yellowtail Snapper,A,19,NA
3,57,Yellowtail Snapper,A,19,NA
3,57,Yellowtail Snapper,A,20,NA
3,57,Yellowtail Snapper,A,21,NA
3,58,Doctorfish,A,16,NA
3,58,Redband Parrotfish,A,25,NA
3,58,Redband Parrotfish,I,19,NA
3,59,Doctorfish,A,16,NA
3,60,Yellowtail Snapper,A,17,NA
4,61,Ocean Surgeonfish,A,15,NA
4,61,Ocean Surgeonfish,A,15,NA
4,61,Ocean Surgeonfish,A,16,NA
4,61,Smooth Trunkfish,A,15,transit
4,62,Stoplight Parrotfish,I,33,NA
4,64,Ocean Surgeonfish,A,17,NA
4,64,Ocean Surgeonfish,A,18,NA
4,65,Princess Parrotfish,I,24,NA
4,65,Yellowtail Parrotfish,A,26,NA
4,65,Yellowtail Parrotfish,A,34,NA
4,66,Blue Tang,A,21,NA
4,66,Ocean Surgeonfish,A,19,NA
4,67,Redband Parrotfish,A,25,NA
4,67,Yellowtail Snapper,A,29,NA
4,68,Stoplight Parrotfish,I,32,transit
4,68,Yellowtail Snapper,A,22,NA
4,69,Ocean Surgeonfish,A,19,NA
4,69,Ocean Surgeonfish,A,20,NA
4,69,White Grunt,A,25,transit
4,70,Ocean Surgeonfish,A,16,NA
4,71,Ocean Surgeonfish,A,17,NA
4,71,Ocean Surgeonfish,A,15,NA
4,71,Yellowtail Snapper,A,15,transit
4,71,Yellowtail Snapper,A,17,transit
4,71,Yellowtail Snapper,A,17,transit
4,71,Yellowtail Snapper,A,18,transit
4,72,Striped Parrotfish,I,20,NA
4,73,Ocean Surgeonfish,A,18,NA
4,73,Ocean Surgeonfish,A,18,NA
4,74,Stoplight Parrotfish,I,35,NA
4,75,Ocean Surgeonfish,A,19,NA
4,75,Ocean Surgeonfish,A,20,NA
4,75,Yellowtail Snapper,A,24,NA
4,76,Blue Tang,A,20,NA
4,76,Grouper sp.,A,NA,NA
4,77,Ocean Surgeonfish,A,18,NA
4,77,Ocean Surgeonfish,A,17,NA
4,77,Stoplight Parrotfish,A,36,transit
4,77,Yellowtail Snapper,A,26,transit
4,78,French Grunt,A,23,transit
4,78,Stoplight Parrotfish,A,36,transit
4,78,Stoplight Parrotfish,I,34,transit
4,79,Blue Tang,A,19,transit
4,79,French Grunt,A,22,NA
4,79,Redband Parrotfish,A,27,transit
4,80,French Grunt,A,22,NA
4,80,Ocean Surgeonfish,A,19,NA
4,80,White Grunt,A,26,NA
5,81,Yellowtail Snapper,A,15,NA
5,81,Yellowtail Snapper,A,15,NA
5,81,Yellowtail Snapper,A,16,NA
5,81,Yellowtail Snapper,A,17,NA
5,81,Yellowtail Snapper,A,18,NA
5,81,Yellowtail Snapper,A,19,NA
5,81,Yellowtail Snapper,A,20,NA
5,81,Yellowtail Snapper,A,15,NA
5,81,Yellowtail Snapper,A,16,NA
5,81,Yellowtail Snapper,A,17,NA
5,81,Yellowtail Snapper,A,18,NA
5,81,Yellowtail Snapper,A,19,NA
5,81,Yellowtail Snapper,A,20,NA
5,81,Yellowtail Snapper,A,15,NA
5,81,Yellowtail Snapper,A,16,NA
5,81,Yellowtail Snapper,A,17,NA
5,81,Yellowtail Snapper,A,18,NA
5,81,Yellowtail Snapper,A,19,NA
5,81,Yellowtail Snapper,A,20,NA
5,81,Yellowtail Snapper,A,15,NA
5,81,Yellowtail Snapper,A,16,NA
5,81,Yellowtail Snapper,A,17,NA
5,81,Yellowtail Snapper,A,18,NA
5,81,Yellowtail Snapper,A,19,NA
5,81,Yellowtail Snapper,A,20,NA
5,81,Yellowtail Snapper,A,15,NA
