site,trans,grid,x,y,outplant
CR,a,1,1,1,1
CR,a,2,1,2,1
CR,a,3,1,3,0
CR,a,4,1,4,0
CR,a,5,1,5,0
CR,a,6,1,6,0
CR,a,7,1,7,0
CR,a,8,1,8,1
CR,a,9,1,9,1
CR,a,10,1,10,1
CR,a,11,2,1,1
CR,a,12,2,2,1
CR,a,13,2,3,0
CR,a,14,2,4,1
CR,a,15,2,5,1
CR,a,16,2,6,0
CR,a,17,2,7,0
CR,a,18,2,8,1
CR,a,19,2,9,1
CR,a,20,2,10,1
CR,b,21,3,1,0
CR,b,22,3,2,0
CR,b,23,3,3,1
CR,b,24,3,4,1
CR,b,25,3,5,1
CR,b,26,3,6,1
CR,b,27,3,7,0
CR,b,28,3,8,0
CR,b,29,3,9,1
CR,b,30,3,10,0
CR,b,31,4,1,0
CR,b,32,4,2,0
CR,b,33,4,3,1
CR,b,34,4,4,1
CR,b,35,4,5,0
CR,b,36,4,6,0
CR,b,37,4,7,1
CR,b,38,4,8,0
CR,b,39,4,9,0
CR,b,40,4,10,0
CR,c,41,5,1,0
CR,c,42,5,2,1
CR,c,43,5,3,1
CR,c,44,5,4,0
CR,c,45,5,5,0
CR,c,46,5,6,1
CR,c,47,5,7,1
CR,c,48,5,8,1
CR,c,49,5,9,1
CR,c,50,5,10,0
CR,c,51,6,1,0
CR,c,52,6,2,1
CR,c,53,6,3,1
CR,c,54,6,4,1
CR,c,55,6,5,0
CR,c,56,6,6,0
CR,c,57,6,7,0
CR,c,58,6,8,1
CR,c,59,6,9,1
CR,c,60,6,10,1
CR,d,61,7,1,0
CR,d,62,7,2,1
CR,d,63,7,3,0
CR,d,64,7,4,0
CR,d,65,7,5,0
CR,d,66,7,6,0
CR,d,67,7,7,0
CR,d,68,7,8,0
CR,d,69,7,9,0
CR,d,70,7,10,0
CR,d,71,8,1,0
CR,d,72,8,2,1
CR,d,73,8,3,0
CR,d,74,8,4,0
CR,d,75,8,5,0
CR,d,76,8,6,0
CR,d,77,8,7,1
CR,d,78,8,8,1
CR,d,79,8,9,0
CR,d,80,8,10,0
CR,e,81,9,1,0
CR,e,82,9,2,1
CR,e,83,9,3,0
CR,e,84,9,4,0
CR,e,85,9,5,0
CR,e,86,9,6,0
CR,e,87,9,7,1
CR,e,88,9,8,1
CR,e,89,9,9,0
CR,e,90,9,10,0
CR,e,91,10,1,1
CR,e,92,10,2,1
CR,e,93,10,3,1
CR,e,94,10,4,1
CR,e,95,10,5,0
CR,e,96,10,6,1
CR,e,97,10,7,1
CR,e,98,10,8,1
CR,e,99,10,9,0
CR,e,100,10,10,0
CC,a,1,1,1,0
CC,a,2,1,2,0
CC,a,3,1,3,0
CC,a,4,1,4,0
CC,a,5,1,5,0
CC,a,6,1,6,0
CC,a,7,1,7,0
CC,a,8,1,8,0
CC,a,9,1,9,0
CC,a,10,1,10,0
