site,grid,fac,height_diff,sd_relief
NDR,1,1,0.851702213,0.046599263
NDR,1,2,0.786011577,0.045743996
NDR,1,4,0.722783715,0.044485694
NDR,1,8,0.626530968,0.042428727
NDR,1,16,0.422614364,0.037985197
NDR,1,32,0.281864862,0.032513533
NDR,2,1,0.778985023,0.11757527
NDR,2,2,0.677453399,0.117208026
NDR,2,4,0.651414722,0.116409189
NDR,2,8,0.599560499,0.114850566
NDR,2,16,0.550236102,0.111526274
NDR,2,32,0.506102398,0.106561263
NDR,4,1,1.530696392,0.260151819
NDR,4,2,1.487163901,0.259551055
NDR,4,4,1.371803552,0.25849293
NDR,4,8,1.279427625,0.256598056
NDR,4,16,1.199700119,0.253069639
NDR,4,32,1.142046585,0.245474531
NDR,5,1,1.530696392,0.260151819
NDR,5,2,1.487163901,0.259551055
NDR,5,4,1.371803552,0.25849293
NDR,5,8,1.279427625,0.256598056
NDR,5,16,1.199700119,0.253069639
NDR,5,32,1.142046585,0.245474531
NDR,6,1,1.863623142,0.437094234
NDR,6,2,1.84724617,0.435654824
NDR,6,4,1.804260343,0.433565974
NDR,6,8,1.680531129,0.43000261
NDR,6,16,1.438571233,0.423683614
NDR,6,32,1.350790367,0.413351046
NDR,7,1,0.891458988,0.157562965
NDR,7,2,0.816585302,0.156414873
NDR,7,4,0.767831951,0.154743533
NDR,7,8,0.746313639,0.152037759
NDR,7,16,0.709701603,0.148021081
NDR,7,32,0.622502067,0.139813442
NDR,8,1,1.086488247,0.145392468
NDR,8,2,0.979219079,0.144980038
NDR,8,4,0.915964454,0.144173522
NDR,8,8,0.830771558,0.142723809
NDR,8,16,0.774905611,0.139946378
NDR,8,32,0.673106585,0.134527887
NDR,9,1,1.423719883,0.269975786
NDR,9,2,1.386998057,0.269624926
NDR,9,4,1.337189645,0.269006882
NDR,9,8,1.163144819,0.267840026
NDR,9,16,1.067640441,0.265731259
NDR,9,32,1.011935121,0.261921033
NDR,10,1,1.232414246,0.220215031
NDR,10,2,1.200248957,0.219587318
NDR,10,4,1.119109869,0.218488092
NDR,10,8,1.09096659,0.216373042
NDR,10,16,1.047042515,0.212341534
NDR,10,32,0.966022811,0.203353208
NDR,11,1,1.220569134,0.290313596
NDR,11,2,1.190382481,0.289571825
NDR,11,4,1.150470674,0.288331971
NDR,11,8,1.129004568,0.286064646
NDR,11,16,1.060716327,0.28186016
NDR,11,32,0.967464194,0.273948684
NDR,12,1,2.038764477,0.370282844
NDR,12,2,1.792247653,0.369062077
NDR,12,4,1.748303562,0.367082776
NDR,12,8,1.639288954,0.363687786
NDR,12,16,1.465591302,0.358516977
NDR,12,32,1.211864424,0.34983365
NDR,13,1,0.703819275,0.086148771
NDR,13,2,0.670339108,0.085579439
NDR,13,4,0.547783732,0.084467685
NDR,13,8,0.469458431,0.082239104
NDR,13,16,0.443128457,0.07825383
NDR,13,32,0.358352921,0.070801114
NDR,14,1,1.09317255,0.163096457
NDR,14,2,1.056970477,0.162506333
NDR,14,4,1.025944203,0.161334596
NDR,14,8,1.00679969,0.159003096
NDR,14,16,0.903300699,0.154280378
NDR,14,32,0.775989578,0.144532442
NDR,15,1,1.991603374,0.392475267
NDR,15,2,1.957606196,0.391838894
NDR,15,4,1.941386729,0.390875603
NDR,15,8,1.630900383,0.389344929
NDR,15,16,1.490176221,0.387228306
NDR,15,32,1.221687472,0.38304535
NDR,16,1,1.869791508,0.333561667
NDR,16,2,1.828188896,0.332321568
NDR,16,4,1.774751723,0.330431629
NDR,16,8,1.678235203,0.327269786
NDR,16,16,1.557455128,0.321000597
NDR,16,32,1.521736188,0.30917268
NDR,17,1,1.268238544,0.152622807
NDR,17,2,1.105526924,0.151960112
NDR,17,4,1.043722838,0.150763538
NDR,17,8,0.909037516,0.148556703
NDR,17,16,0.772648195,0.144389511
NDR,17,32,0.660658872,0.135585296
NDR,18,1,1.334465981,0.209004692
NDR,18,2,1.278347969,0.208303584
NDR,18,4,1.201131284,0.207046024
NDR,18,8,1.136365213,0.204655698
NDR,18,16,1.036846353,0.199898776
NDR,18,32,0.959503657,0.191846509
NDR,19,1,0.951228142,0.137673064
NDR,19,2,0.931941211,0.137127683
NDR,19,4,0.853959918,0.135955159
NDR,19,8,0.788863029,0.133549091
NDR,19,16,0.729564472,0.128734071
NDR,19,32,0.594017201,0.119950506
NDR,20,1,2.503838778,0.240049856
NDR,20,2,1.54993552,0.239547939
NDR,20,4,1.199972421,0.238615529
NDR,20,8,1.112693578,0.236883629
NDR,20,16,1.05773507,0.233810608
NDR,20,32,1.020268361,0.227722527
NDR,25,1,0.775607824,0.133376986
NDR,25,2,0.75745672,0.132790404
NDR,25,4,0.677207336,0.131631784
NDR,25,8,0.637393832,0.129536166
NDR,25,16,0.580071041,0.12475404
NDR,25,32,0.472552276,0.115676358
NDR,26,1,1.205474377,0.219585165
NDR,26,2,1.157166719,0.21904442
NDR,26,4,1.0817606,0.217997261
NDR,26,8,1.053864013,0.215894647
NDR,26,16,1.011534903,0.211354646
NDR,26,32,0.959650506,0.202726333
NDR,27,1,1.309370041,0.206901416
NDR,27,2,1.304602563,0.206336883
NDR,27,4,1.294908568,0.205204898
NDR,27,8,1.264876347,0.202619324
NDR,27,16,1.145412453,0.197167652
NDR,27,32,1.030903783,0.184827333
NDR,28,1,1.170755386,0.182747474
NDR,28,2,1.159345686,0.18208872
NDR,28,4,1.128678843,0.180757066
NDR,28,8,1.063797418,0.178202942
NDR,28,16,0.998069246,0.172902067
NDR,28,32,0.870740489,0.161415771
NDR,29,1,1.066717863,0.175913008
NDR,29,2,1.052099943,0.175082979
NDR,29,4,1.016763687,0.173606432
NDR,29,8,0.97973818,0.171121017
NDR,29,16,0.93250583,0.166338437
NDR,29,32,0.86465371,0.157377805
NDR,30,1,1.4529109,0.212045292
NDR,30,2,1.383530617,0.211437345
NDR,30,4,1.315434143,0.210289469
NDR,30,8,1.198257551,0.208118576
NDR,30,16,1.159067121,0.203879049
NDR,30,32,0.996974323,0.195317557
NDR,31,1,1.025306463,0.138700398
NDR,31,2,0.934972882,0.137990986
NDR,31,4,0.882981956,0.136523154
NDR,31,8,0.740893327,0.133611824
NDR,31,16,0.689887184,0.127958691
NDR,31,32,0.585375895,0.114980998
NDR,32,1,0.961656332,0.202457381
NDR,32,2,0.913611293,0.202079454
NDR,32,4,0.89256233,0.201272448
NDR,32,8,0.883840416,0.199634905
NDR,32,16,0.847774844,0.195607649
NDR,32,32,0.772545927,0.188948096
NDR,33,1,1.027527332,0.13599573
NDR,33,2,0.975505352,0.135519878
NDR,33,4,0.878768101,0.134398175
NDR,33,8,0.809818,0.132001632
NDR,33,16,0.747034212,0.12722405
NDR,33,32,0.646895254,0.119730891
NDR,34,1,1.575377226,0.293311146
NDR,34,2,1.563953042,0.292527815
NDR,34,4,1.517003596,0.291082623
NDR,34,8,1.437485769,0.288292924
NDR,34,16,1.35396119,0.282392273
NDR,34,32,1.296404804,0.272655604
NDR,35,1,1.689258099,0.314596524
NDR,35,2,1.644597173,0.313741686
NDR,35,4,1.575280622,0.312199
NDR,35,8,1.382463671,0.309663702
NDR,35,16,1.30354928,0.305126899
NDR,35,32,1.182393281,0.296414162
NDR,36,1,1.502959728,0.365392925
NDR,36,2,1.448403656,0.365014467
NDR,36,4,1.391927585,0.364345063
NDR,36,8,1.334729392,0.363206951
NDR,36,16,1.244950297,0.361263931
NDR,36,32,1.196938474,0.357618931
NDR,49,1,1.129013062,0.21284643
NDR,49,2,1.125398755,0.212156493
NDR,49,4,1.103447229,0.211055752
NDR,49,8,1.042129986,0.209046113
NDR,49,16,1.021635991,0.205221036
NDR,49,32,0.939316254,0.198121596
NDR,50,1,2.182846546,0.384484366
NDR,50,2,2.126521707,0.383629181
NDR,50,4,2.001885235,0.38234968
NDR,50,8,1.960071154,0.380206829
NDR,50,16,1.875436986,0.376362976
NDR,50,32,1.695981527,0.368425313
NDR,51,1,2.218167305,0.443906919
NDR,51,2,2.18666625,0.441742682
NDR,51,4,2.155991703,0.438560193
NDR,51,8,2.118031666,0.434189625
NDR,51,16,1.987720376,0.425159173
NDR,51,32,1.868870949,0.409627578
NDR,52,1,1.142266273,0.213607137
NDR,52,2,1.139361382,0.213273609
NDR,52,4,1.125391215,0.212659082
NDR,52,8,1.097944319,0.211360683
NDR,52,16,1.064285392,0.208406298
NDR,52,32,0.999696523,0.201786951
NDR,53,1,1.525898933,0.236150835
NDR,53,2,1.465737581,0.235379559
NDR,53,4,1.430547237,0.234052789
NDR,53,8,1.333162189,0.231508674
NDR,53,16,1.283919862,0.226576056
NDR,53,32,1.181518117,0.215024345
NDR,54,1,1.821808338,0.390065429
NDR,54,2,1.781184793,0.389336022
NDR,54,4,1.740064323,0.388116427
NDR,54,8,1.682591975,0.385943546
NDR,54,16,1.626565244,0.381925523
NDR,54,32,1.583719546,0.37290818
NDR,55,1,1.329712868,0.192616209
NDR,55,2,1.324941397,0.191879946
NDR,55,4,1.274227381,0.190544422
NDR,55,8,1.093596987,0.18767857
NDR,55,16,0.966855871,0.182599218
NDR,55,32,0.922166291,0.173136057
NDR,56,1,2.451810837,0.35219342
NDR,56,2,2.438346028,0.349580566
NDR,56,4,2.378989503,0.345457351
NDR,56,8,2.310613222,0.339650854
NDR,56,16,2.2407204,0.327393905
NDR,56,32,1.798750816,0.301395135
NDR,57,1,1.694684029,0.375014849
NDR,57,2,1.688700557,0.374379562
NDR,57,4,1.679867536,0.373174503
NDR,57,8,1.656051271,0.37104823
NDR,57,16,1.626163198,0.366032256
NDR,57,32,1.554664581,0.357790034
NDR,58,1,1.010212898,0.186238342
NDR,58,2,0.986629844,0.184810759
NDR,58,4,0.943314463,0.18259118
NDR,58,8,0.894866087,0.179309722
NDR,58,16,0.868254334,0.173349034
NDR,58,32,0.728672433,0.16173595
NDR,59,1,2.620606661,0.375053302
NDR,59,2,2.558642983,0.374257078
NDR,59,4,2.5420966,0.372776551
NDR,59,8,2.490133196,0.370441619
NDR,59,16,2.307510148,0.365749356
NDR,59,32,2.094129846,0.35773273
NDR,60,1,2.811196804,0.733283449
NDR,60,2,2.779379904,0.732262942
NDR,60,4,2.759628102,0.730737929
NDR,60,8,2.705696918,0.728512738
NDR,60,16,2.518476742,0.724253563
NDR,60,32,2.371198816,0.717694617
NDR,61,1,2.104944229,0.498454574
NDR,61,2,2.095982075,0.498077947
NDR,61,4,2.090451896,0.497415619
NDR,61,8,2.036839329,0.495856289
NDR,61,16,1.973575942,0.493190231
NDR,61,32,1.933817156,0.489302184
NDR,62,1,3.10831213,0.279403632
NDR,62,2,2.611728847,0.277394888
NDR,62,4,2.121453658,0.274572141
NDR,62,8,1.611612782,0.270805955
NDR,62,16,1.541021295,0.264187764
NDR,62,32,1.368875784,0.251136152
NDR,63,1,2.803569555,0.881474926
NDR,63,2,2.795858145,0.876335569
NDR,63,4,2.763230935,0.869076356
NDR,63,8,2.728562642,0.857856554
NDR,63,16,2.637713663,0.840841106
NDR,63,32,2.420855435,0.811526723
NDR,64,1,2.465875149,0.514885126
NDR,64,2,2.444254816,0.513138291
NDR,64,4,2.397411525,0.510479249
NDR,64,8,2.354997475,0.506271399
NDR,64,16,2.221434645,0.498079052
NDR,64,32,2.060320704,0.486574787
NDR,65,1,2.425586939,0.649103674
NDR,65,2,2.421889544,0.648191707
NDR,65,4,2.40967758,0.646724077
NDR,65,8,2.377896279,0.64426798
NDR,65,16,2.3143161,0.639203629
NDR,65,32,2.177870795,0.62943244
NDR,66,1,2.021393299,0.282412602
NDR,66,2,1.96628058,0.281589204
NDR,66,4,1.950423211,0.280379674
NDR,66,8,1.875151157,0.2781645
NDR,66,16,1.675742351,0.273072085
