"","survey","trans","site","visit","surveyor","current","time","grid","x","y","outplant","protection","restored","uniqueid"
"1",1,"a","PR","1","Aneri","L",35,"01",1,1,0,"N","Y","PR_01_1"
"2",1,"a","PR","1","Aneri","L",35,"02",1,2,0,"N","Y","PR_02_1"
"3",1,"a","PR","1","Aneri","L",35,"03",1,3,0,"N","Y","PR_03_1"
"4",1,"a","PR","1","Aneri","L",35,"04",1,4,0,"N","Y","PR_04_1"
"5",1,"a","PR","1","Aneri","L",35,"05",1,5,0,"N","Y","PR_05_1"
"6",1,"a","PR","1","Aneri","L",35,"06",1,6,0,"N","Y","PR_06_1"
"7",1,"a","PR","1","Aneri","L",35,"07",1,7,1,"N","Y","PR_07_1"
"8",1,"a","PR","1","Aneri","L",35,"08",1,8,1,"N","Y","PR_08_1"
"9",1,"a","PR","1","Aneri","L",35,"09",1,9,1,"N","Y","PR_09_1"
"10",1,"a","PR","1","Aneri","L",35,"10",1,10,1,"N","Y","PR_10_1"
"11",1,"a","PR","1","Aneri","L",35,"11",2,1,0,"N","Y","PR_11_1"
"12",1,"a","PR","1","Aneri","L",35,"12",2,2,1,"N","Y","PR_12_1"
"13",1,"a","PR","1","Aneri","L",35,"13",2,3,1,"N","Y","PR_13_1"
"14",1,"a","PR","1","Aneri","L",35,"14",2,4,0,"N","Y","PR_14_1"
"15",1,"a","PR","1","Aneri","L",35,"15",2,5,0,"N","Y","PR_15_1"
"16",1,"a","PR","1","Aneri","L",35,"16",2,6,0,"N","Y","PR_16_1"
"17",1,"a","PR","1","Aneri","L",35,"17",2,7,1,"N","Y","PR_17_1"
"18",1,"a","PR","1","Aneri","L",35,"18",2,8,1,"N","Y","PR_18_1"
"19",1,"a","PR","1","Aneri","L",35,"19",2,9,1,"N","Y","PR_19_1"
"20",1,"a","PR","1","Aneri","L",35,"20",2,10,1,"N","Y","PR_20_1"
"21",2,"b","PR","1","Kelsey","L",35,"21",3,1,1,"N","Y","PR_21_1"
"22",2,"b","PR","1","Kelsey","L",35,"22",3,2,0,"N","Y","PR_22_1"
"23",2,"b","PR","1","Kelsey","L",35,"23",3,3,0,"N","Y","PR_23_1"
"24",2,"b","PR","1","Kelsey","L",35,"24",3,4,1,"N","Y","PR_24_1"
"25",2,"b","PR","1","Kelsey","L",35,"25",3,5,0,"N","Y","PR_25_1"
"26",2,"b","PR","1","Kelsey","L",35,"26",3,6,0,"N","Y","PR_26_1"
"27",2,"b","PR","1","Kelsey","L",35,"27",3,7,1,"N","Y","PR_27_1"
"28",2,"b","PR","1","Kelsey","L",35,"28",3,8,1,"N","Y","PR_28_1"
"29",2,"b","PR","1","Kelsey","L",35,"29",3,9,1,"N","Y","PR_29_1"
"30",2,"b","PR","1","Kelsey","L",35,"30",3,10,1,"N","Y","PR_30_1"
"31",2,"b","PR","1","Kelsey","L",35,"31",4,1,1,"N","Y","PR_31_1"
"32",2,"b","PR","1","Kelsey","L",35,"32",4,2,0,"N","Y","PR_32_1"
"33",2,"b","PR","1","Kelsey","L",35,"33",4,3,0,"N","Y","PR_33_1"
"34",2,"b","PR","1","Kelsey","L",35,"34",4,4,1,"N","Y","PR_34_1"
"35",2,"b","PR","1","Kelsey","L",35,"35",4,5,0,"N","Y","PR_35_1"
"36",2,"b","PR","1","Kelsey","L",35,"36",4,6,0,"N","Y","PR_36_1"
"37",2,"b","PR","1","Kelsey","L",35,"37",4,7,1,"N","Y","PR_37_1"
"38",2,"b","PR","1","Kelsey","L",35,"38",4,8,1,"N","Y","PR_38_1"
"39",2,"b","PR","1","Kelsey","L",35,"39",4,9,1,"N","Y","PR_39_1"
"40",2,"b","PR","1","Kelsey","L",35,"40",4,10,1,"N","Y","PR_40_1"
"41",3,"c","PR","1","Taylor","L",23,"41",5,1,0,"N","Y","PR_41_1"
"42",3,"c","PR","1","Taylor","L",23,"42",5,2,0,"N","Y","PR_42_1"
"43",3,"c","PR","1","Taylor","L",23,"43",5,3,1,"N","Y","PR_43_1"
"44",3,"c","PR","1","Taylor","L",23,"44",5,4,1,"N","Y","PR_44_1"
"45",3,"c","PR","1","Taylor","L",23,"45",5,5,0,"N","Y","PR_45_1"
"46",3,"c","PR","1","Taylor","L",23,"46",5,6,1,"N","Y","PR_46_1"
"47",3,"c","PR","1","Taylor","L",23,"47",5,7,1,"N","Y","PR_47_1"
"48",3,"c","PR","1","Taylor","L",23,"48",5,8,0,"N","Y","PR_48_1"
"49",3,"c","PR","1","Taylor","L",23,"49",5,9,1,"N","Y","PR_49_1"
"50",3,"c","PR","1","Taylor","L",23,"50",5,10,1,"N","Y","PR_50_1"
"51",3,"c","PR","1","Taylor","L",23,"51",6,1,0,"N","Y","PR_51_1"
"52",3,"c","PR","1","Taylor","L",23,"52",6,2,0,"N","Y","PR_52_1"
"53",3,"c","PR","1","Taylor","L",23,"53",6,3,1,"N","Y","PR_53_1"
"54",3,"c","PR","1","Taylor","L",23,"54",6,4,1,"N","Y","PR_54_1"
"55",3,"c","PR","1","Taylor","L",23,"55",6,5,1,"N","Y","PR_55_1"
"56",3,"c","PR","1","Taylor","L",23,"56",6,6,1,"N","Y","PR_56_1"
"57",3,"c","PR","1","Taylor","L",23,"57",6,7,1,"N","Y","PR_57_1"
"58",3,"c","PR","1","Taylor","L",23,"58",6,8,1,"N","Y","PR_58_1"
"59",3,"c","PR","1","Taylor","L",23,"59",6,9,1,"N","Y","PR_59_1"
"60",3,"c","PR","1","Taylor","L",23,"60",6,10,1,"N","Y","PR_60_1"
